Bug Number,Sentence Number,Sentence
110797,1.1,When I insert an audio CD it is automatically mounted and an icon for the CD is added to the desktop.
110797,1.2,When I right click on the desktop icon the top two menu items are "Open" and "Browse Folder".
110797,1.3,I ould expect ths first option to open the CD with the default CD playing software (i.e.
110797,1.4,Sound Juicer_DOUHAO_ Exaile_DOUHAO_ Beep etc).
110797,1.5,I would expect the "Browse Folder" option to open the disc using the default file manager (Nautilus_DOUHAO_ Konqueror_DOUHAO_ Thunar etc).
110797,1.6,However it doesn't matter which of these options I choose as both invoke Sound Juicer which is not what I want - In this particular instance I am actually trying to find out what the mount point of the CD is so I can copy and paste the value into grip as I have given up on trying to get an MP3 profile set up using "gnome-audio-profiles-properties" (NO matter what I set Sound Juicer refuses to load the profile).
110797,1.7,This happens every time I insert an Audio CD and it is most annoying.
110797,1.8,As an additional point I would like to see the properties page for all desktop icons amended to include the full filesystem path for the item being displayed.
110797,1.9,In the case of a shortcut this should show both the full path of the shortcut and the full path of the target.
110797,1.10,This text should also be "copy & pastable" (in fact every piece of text that is ever displayed on any widget should be "copy & pastable" but that's an entirely different gripe of mine with all "modern" operating systems.
110797,1.11,Cheers.
110797,2.1,Thank you for taking the time to report this bug and helping to make Ubuntu better.
110797,2.2,You reported this bug a while ago and there hasn't been any activity in recently.
110797,2.3,We were wondering if this is still an issue for you?
110797,2.4,Thanks in advance.
110797,3.1,Sorry for the delay in replyin but I haven't looked at "my" bugs for a while.
110797,3.2,But yes the behaviour is still "broken".
110797,3.3,As I originally said it would seem logical to me that "Open" should invoke the default player/ripper for an audio CD and "Browse" should invoke the default File Mangler (sorry "Manager").
110797,3.4,Under Gutsy both actions still invoke "Sound Juicer".
110797,3.5,If both menu items are going to perform the same action there is no point having two menu items (as one would suffice).
110797,3.6,If they are supposed to do different things then they should (otherwise there is no point in them being here !)
110797,4.1,I_DOUHAO_ too_DOUHAO_ cannot get the default audio player to activate when I insert an audio CD.
110797,4.2,I set Preferences > Preferred Applications > Multimedia to "/usr/bin/amarok --cdplay %d" but Rhythmbox still came up.
110797,4.3,So_DOUHAO_ I uninstalled Rhythmbox and then Banshee came up when I inserted an audio CD.
110797,4.4,So_DOUHAO_ I uninstalled Banshee and now Sound Juicer comes up.
110797,4.5,How do I set the audio player of my choice to start when an audio CD is inserted?
