Sentence,Opinion
"Kontact is the main application I run 24h/24h, and these workarounds are poor fixes that I consider not acceptable for a PIM package.",0
the issue happends on i386 version on santa rosa as well and I didn't see this issue with Weybridge platform. I agree with Albert,1
"First, let me disagree violently with whoever classed this problem as ""Low"" priority",0
"I now have the nVidia driver running beautifully. Thanks for your help, Jose.",1
none of the previous suggestions worked for me.,0
People have stoppef complaining because there has been no change for so long. I ended up changing a perfectly good mouse to resolve the issue.,1
"Hi Leann, I have tested booting from a live cd. The crash also happens using the live cd. Also it is not stable, sometimes it crashes, sometimes not. I have attached the /var/log/kern.log.0 file. I crashed a few times before it booted ok. That is when I copied the file. I don't know if it's interesting, but I hope it is helpful.",0
"I can also confirm this bug, I get pretty much the same command line output as in the description.",1
"That's not good, as it makes internal servers unsecure...",0
"sbg, you are right.",1
"I have already described my problem as bug 114233. However, it got worse now: I cannot even use OSS anymore.",0
"for me yes, and since it ' s limited scope i would probably not even add a toolbar button but simply add it to the view menu.",1
"We can still give them icons by hand, but unfortunately, the places menu ignores those icons!",0
I am getting the same error on xubuntu release candidate with all updates,1
"I've upgraded to 7.10, and the bcm4306 driver no longer works properly.",0
"henry, thank you for the useful comment.",1
Need to reopen this. Anything that forces a hard reboot is a bad bug...,0
"The good news is that the CPU fan problem described in Bug #127772 appears fixed, so I marked that one taken care of.",1
"the patch above didn't go smoothly, and i can't justify working more on it during work time",0
agreed! a laptop without a decent wireless connection is a big problem!,1
"Its not yet fixed, so we may have to wait for that as well.",0
"Regarding the filter idea: it sounds good to me, but I think we should move the discussion about it to a separate bug.",1
"That said, I'm not sure the video plugin is actually terribly useful now - the big Xv-with-Compiz bugs have mostly been fixed in the drivers.",0
"Okay, I'm sure your workaround is the way to go, it's just the implementation which doesn't seem to be the same between my computer and yours.",1
And after hundreds of that messages I can not use DVD-ROM. DVD-ROM locks. When it has CD or DVD inside - that errors do not appear.,0
Excellent idea!,1
I won't do it myself as I'm not a member of the team,0
"i agree with sergio, ""i think that the importance [should] be related...",1
With 6+ hours of battery life I don't think it's dangerous to update the apt database without the AC adapter connected.,0
Confirming this bug (Gutsy). Worked fine in Feisty.,1
